Cpu,Ram,Weight,Price,Acer,Apple,Asus,Chuwi,Dell,Fujitsu,Google,HP,Huawei,LG,Lenovo,MSI,Mediacom,Microsoft,Razer,Samsung,Toshiba,Vero,Xiaomi,No
93,8,2.2,2528.136,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,8,2.2,1382.616,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
97,8,2.02,2277.72,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,4,2.2,1411.92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,8,2.5,2602.728,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
75,8,1.88,2920.17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,8,0.92,4022.64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,8,1.63,2291.04,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
8,4,2.2,1062.936,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
13,4,2.1,1052.28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
93,16,2.65,3593.736,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
97,8,1.83,1862.136,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
67,8,1.96,1595.709,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
93,16,2.2,3860.136,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
97,8,1.21,4392.936,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,8,2.45,1862.136,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
97,8,2.2,1835.496,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
97,16,1.49,3188.808,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
69,8,2.65,3183.48,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
88,8,1.25,2794.536,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
